"State","Brewery_Count","State_Name","Region","Division"
"AK",7,"alaska","West","Pacific"
"AL",3,"alabama","South","East South Central"
"AR",2,"arkansas","South","West South Central"
"AZ",11,"arizona","West","Mountain"
"CA",39,"california","West","Pacific"
"CO",47,"colorado","West","Mountain"
"CT",8,"connecticut","Northeast","New England"
"DE",2,"delaware","South","South Atlantic"
"FL",15,"florida","South","South Atlantic"
"GA",7,"georgia","South","South Atlantic"
"HI",4,"hawaii","West","Pacific"
"IA",5,"iowa","North Central","West North Central"
"ID",5,"idaho","West","Mountain"
"IL",18,"illinois","North Central","East North Central"
"IN",22,"indiana","North Central","East North Central"
"KS",3,"kansas","North Central","West North Central"
"KY",4,"kentucky","South","East South Central"
"LA",5,"louisiana","South","West South Central"
"MA",23,"massachusetts","Northeast","New England"
"MD",7,"maryland","South","South Atlantic"
"ME",9,"maine","Northeast","New England"
"MI",32,"michigan","North Central","East North Central"
"MN",12,"minnesota","North Central","West North Central"
"MO",9,"missouri","North Central","West North Central"
"MS",2,"mississippi","South","East South Central"
"MT",9,"montana","West","Mountain"
"NC",19,"north carolina","South","South Atlantic"
"ND",1,"north dakota","North Central","West North Central"
"NE",5,"nebraska","North Central","West North Central"
"NH",3,"new hampshire","Northeast","New England"
"NJ",3,"new jersey","Northeast","Middle Atlantic"
"NM",4,"new mexico","West","Mountain"
"NV",2,"nevada","West","Mountain"
"NY",16,"new york","Northeast","Middle Atlantic"
"OH",15,"ohio","North Central","East North Central"
"OK",6,"oklahoma","South","West South Central"
"OR",29,"oregon","West","Pacific"
"PA",25,"pennsylvania","Northeast","Middle Atlantic"
"RI",5,"rhode island","Northeast","New England"
"SC",4,"south carolina","South","South Atlantic"
"SD",1,"south dakota","North Central","West North Central"
"TN",3,"tennessee","South","East South Central"
"TX",28,"texas","South","West South Central"
"UT",4,"utah","West","Mountain"
"VA",16,"virginia","South","South Atlantic"
"VT",10,"vermont","Northeast","New England"
"WA",23,"washington","West","Pacific"
"WI",20,"wisconsin","North Central","East North Central"
"WV",1,"west virginia","South","South Atlantic"
"WY",4,"wyoming","West","Mountain"
